Sample_Source,Date,Time,SampleID,FieldID,Plot_Number,Plot,Dark Blue Fiber,Black Fiber,Clear Fiber,Pink Fiber,Light Blue Fiber,Green Fiber,Bright Blue Fiber,White Fiber,Gray Fiber,Teal Fiber,Red Fiber,Yellow Fiber,Orange Fiber,Blue Fragment,Blue Square Particle,Light Blue Fragment,Pink Fragment Tube,Light Yellow Fragment,Red Fragment,Mauve Shard,White Shard,White Fragment,Orange Fragment,Bright Yellow Fragment,Clear Fragment,Black Fragment,Foam,Styrofoam,Unknown,Total,Photo,SlideBox,Notes,Water Height,Net Opening Area (m2),Velocity_mpersec,flow_m3persec,flow_m3permin,MP_per_min,MP_per_m3,Type
Water Column,5/14/2019,May,9,190514004-01,4,Cemetery,0,14.34,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16.01,111-114,44,,0.18,0.08226,0.21,0.0172746,1.036476,0.533666667,0.514885696,Water_Column
Water Column,5/14/2019,May,43,190514004-02,4,Cemetery,0,15.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16.34,220-223,80,,0.18,0.08226,0.25,0.020565,1.2339,0.544666667,0.441418808,Water_Column
Water Column,5/14/2019,May,27,190514004-03,4,Cemetery,0,8.34,0,0,0.67,0,0,0,0,0,0.67,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10.68,128-132,49,,0.14,0.06398,0.34,0.0217532,1.305192,0.356,0.272756805,Water_Column
Water Column,6/17/2019,June,39,190617004-01,4,Cemetery,0,6.34,0.67,1,0.67,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,13.68,201-204,71,Blue tarp fragment,0.16,0.07312,0.21,0.0153552,0.921312,0.456,0.494946337,Water_Column
Water Column,6/17/2019,June,26,190617004-02,4,Cemetery,0,2.34,0.67,0,0,0,2,0,0,0,1.67,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8.68,155-161,56,,0.28,0.12796,0.17,0.0217532,1.305192,0.289333333,0.221678752,Water_Column
Water Column,6/17/2019,June,38,190617004-03,4,Cemetery,0,2.34,0.67,0,0,0,0,0,0,0,0.67,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.68,196-198,69,,0.26,0.11882,0.15,0.017823,1.06938,0.156,0.14587892,Water_Column
Water Column,7/29/2019,July,7,190729004-01,4,Cemetery,0,1.34,0.67,0,3.67,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.68,79-81,35,,0.18,0.08226,0.08,0.0065808,0.394848,0.222666667,0.563930086,Water_Column
Water Column,7/29/2019,July,18,190729004-02,4,Cemetery,0,0.34,0,0,0.67,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,7.01,164-167,58,,0.25,0.11425,0.07,0.0079975,0.47985,0.233666667,0.48695773,Water_Column
Water Column,7/29/2019,July,36,190729004-03,4,Cemetery,0,1.34,0.67,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5.01,218-219,79,,0.23,0.10511,0.05,0.0052555,0.31533,0.167,0.529603907,Water_Column
Water Column,4/10/2019,April,12,190410005-01,5,Cabins,2.67,4.34,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.01,"133-135, 115","45, 50",,0.26,0.11882,0.4,0.047528,2.85168,0.267,0.093629019,Water_Column
Water Column,4/10/2019,April,50,190410005-02,5,Cabins,0,0,0.67,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.67,269-270,94,,0.32,0.13939,0.41,0.0571499,3.428994,0.089,0.025955134,Water_Column
Water Column,4/10/2019,April,55,190410005-03,5,Cabins,0,0,0,0,0,0,0,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,136-137,51,,0.22,0.10054,0.37,0.0371998,2.231988,0.022333333,0.010006028,Water_Column
Water Column,5/14/2019,May,52,190514005-01,5,Cabins,0,2.34,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.34,260-263,92,,0.21,0.09597,0.12,0.0115164,0.690984,0.111333333,0.161122882,Water_Column
Water Column,5/14/2019,May,23,190514005-02,5,Cabins,0,1.34,1.67,0,0,0,0,0,0,0,0.67,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.68,168-171,59,,0.28,0.12796,0.21,0.0268716,1.612296,0.189333333,0.117430877,Water_Column
Water Column,5/14/2019,May,21,190514005-03,5,Cabins,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34,144-146,53,,0.18,0.08226,0.16,0.0131616,0.789696,0.011333333,0.014351514,Water_Column
Water Column,6/17/2019,June,30,190617005-01,5,Cabins,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.67,207-208,73,,0.26,0.11882,0.11,0.0130702,0.784212,0.055666667,0.070984207,Water_Column
Water Column,6/17/2019,June,33,190617005-02,5,Cabins,2.67,1.34,0.67,0,0.67,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8.35,174-177,61,,0.22,0.10054,0.15,0.015081,0.90486,0.278333333,0.307598229,Water_Column
Water Column,6/17/2019,June,25,190617005-03,5,Cabins,0,1.34,2.67,0,2.67,0,0,0,0,0,0.67,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9.35,189-190,66,Blue fragment = tarp?,0.22,0.10054,0.09,0.0090486,0.542916,0.311666667,0.574060567,Water_Column
Water Column,7/29/2019,July,5,190729005-01,5,Cabins,1.67,6.34,1.67,0,2.67,0,0,0,0,1,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.02,61-68,31,,0.17,0.07769,0.08,0.0062152,0.372912,0.467333333,1.25320004,Water_Column
Water Column,7/29/2019,July,8,190729005-02,5,Cabins,5.67,0.34,1.67,0,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.35,77-78,34,,0.2,0.0914,0.06,0.005484,0.32904,0.311666667,0.947199935,Water_Column
Water Column,7/29/2019,July,4,190729005-03,5,Cabins,0,2.34,0,0,2.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.01,69-72,32,,0.18,0.08226,0.04,0.0032904,0.197424,0.167,0.845895129,Water_Column
