Sample_Source,Date,Time,SampleID,FieldID,Plot,Dark Blue Fiber,Black Fiber,Clear Fiber,Pink Fiber,Light Blue Fiber,Green Fiber,Bright Blue Fiber,White Fiber,Gray Fiber,Teal Fiber,Red Fiber,Yellow Fiber,Orange Fiber,Blue Fragment,Blue Square Particle,Light Blue Fragment,Pink Fragment Tube,Light Yellow Fragment,Red Fragment,Mauve Shard,White Shard,White Fragment,Orange Fragment,Bright Yellow Fragment,Clear Fragment,Black Fragment,Foam,Styrofoam,Unknown,Total,Photo,SlideBox,Notes,Water Height,Net Opening Area (m2),Velocity_mpersec,flow_m3persec,flow_m3permin,MP_per_min,MP_per_m3,Type
Water Column,4/10/2019,April,55,190410005-03,5,0,0,0,0,0,0,0,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,136-137,51,,0.22,0.10054,0.37,0.0371998,2.231988,0.022333333,0.010006028,Water_Column
Water Column,5/14/2019,May,31,190514001-01,1,0,7.34,0.67,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9.68,162-163,57,,0.26,0.11882,0.29,0.0344578,2.067468,0.322666667,0.156068518,Water_Column
Water Column,5/14/2019,May,11,190514001-02,1,0,2.34,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.01,224,81,,0.26,0.11882,0.31,0.0368342,2.210052,0.133666667,0.060481232,Water_Column
Water Column,5/14/2019,May,35,190514001-03,1,0,2.34,0.67,0,1.67,0,1,0,0,0,1.67,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,9.35,225-230,82,,0.2,0.0914,0.35,0.03199,1.9194,0.311666667,0.162377132,Water_Column
Water Column,5/14/2019,May,54,190514002-01,2,0,2.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.34,298,107,,0.29,0.13253,0.45,0.0596385,3.57831,0.078,0.021798,Water_Column
Water Column,5/14/2019,May,57,190514002-02,2,0,0.34,0.67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.01,264-268,93,,0.21,0.09597,0.34,0.0326298,1.957788,0.100333333,0.051248314,Water_Column
Water Column,5/14/2019,May,61,190514002-03,2,0,6.34,0.67,0,1.67,0,0,0,0,0,0.67,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,13.35,277-281,98,Unknown = white sphere,0.24,0.10968,0.38,0.0416784,2.500704,0.445,0.177949889,Water_Column
Water Column,5/14/2019,May,6,190514003-01,3,0,3.34,0.67,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.68,86-88,37,,0.18,0.08226,0.2,0.016452,0.98712,0.156,0.158035497,Water_Column
Water Column,5/14/2019,May,15,190514003-02,3,0,0.34,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.01,82-85,36,,0.24,0.10968,0.29,0.0318072,1.908432,0.067,0.035107355,Water_Column
Water Column,5/14/2019,May,22,190514003-03,3,2.67,6.34,0.67,0,0.67,0,0,0,0,0,0.67,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,13.02,138-143,52,Red cylindrical fragment - broke apart with forceps,0.16,0.07312,0.17,0.0124304,0.745824,0.434,0.581906723,Water_Column
Water Column,5/14/2019,May,9,190514004-01,4,0,14.34,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16.01,111-114,44,,0.18,0.08226,0.21,0.0172746,1.036476,0.533666667,0.514885696,Water_Column
Water Column,5/14/2019,May,43,190514004-02,4,0,15.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16.34,220-223,80,,0.18,0.08226,0.25,0.020565,1.2339,0.544666667,0.441418808,Water_Column
Water Column,5/14/2019,May,27,190514004-03,4,0,8.34,0,0,0.67,0,0,0,0,0,0.67,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10.68,128-132,49,,0.14,0.06398,0.34,0.0217532,1.305192,0.356,0.272756805,Water_Column
Water Column,5/14/2019,May,52,190514005-01,5,0,2.34,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.34,260-263,92,,0.21,0.09597,0.12,0.0115164,0.690984,0.111333333,0.161122882,Water_Column
Water Column,5/14/2019,May,23,190514005-02,5,0,1.34,1.67,0,0,0,0,0,0,0,0.67,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.68,168-171,59,,0.28,0.12796,0.21,0.0268716,1.612296,0.189333333,0.117430877,Water_Column
Water Column,5/14/2019,May,21,190514005-03,5,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34,144-146,53,,0.18,0.08226,0.16,0.0131616,0.789696,0.011333333,0.014351514,Water_Column
Water Column,6/17/2019,June,34,190617001-01,1,0,2.34,0,0,0.67,0,0,0,0,0,0.67,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.68,191-193,67,Large blue tarp,0.18,0.08226,0.21,0.0172746,1.036476,0.156,0.150509997,Water_Column
Water Column,6/17/2019,June,17,190617001-02,1,0,10.34,1.67,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.01,147-152,54,,0.28,0.12796,0.22,0.0281512,1.689072,0.500333333,0.296217884,Water_Column
Water Column,6/17/2019,June,14,190617001-03,1,0,9.34,1.67,0,1.67,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13.68,95-98,39,,0.34,0.15538,0.23,0.0357374,2.144244,0.456,0.212662365,Water_Column
Water Column,6/17/2019,June,56,190617002-01,2,0.67,2.34,0.67,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.68,275-276,97,,0.24,0.10968,0.39,0.0427752,2.566512,0.189333333,0.073770679,Water_Column
Water Column,6/17/2019,June,60,190617002-02,2,0,5.34,0,0,0,0,1,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.01,291-292,103,,0.26,0.11882,0.49,0.0582218,3.493308,0.233666667,0.066889798,Water_Column
Water Column,6/17/2019,June,10,190617002-03,2,0,0,0,1,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67,116-118,46,,0.14,0.06398,0.38,0.0243124,1.458744,0.055666667,0.038160683,Water_Column
Water Column,6/17/2019,June,28,190617003-01,3,0,0,0,0,1.67,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3.67,172-173,60,,0.14,0.06398,0.17,0.0108766,0.652596,0.122333333,0.187456456,Water_Column
Water Column,6/17/2019,June,24,190617003-02,3,0,2.34,0.67,1,0.67,0,0,0,0,0,3.67,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11.35,182-184,63,,0.12,0.05484,0.31,0.0170004,1.020024,0.378333333,0.370906305,Water_Column
Water Column,6/17/2019,June,29,190617003-03,3,0,3.34,0,0,0,0,0,0,0,0,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.01,185-186,64,,0.13,0.05941,0.05,0.0029705,0.17823,0.167,0.936991528,Water_Column
Water Column,6/17/2019,June,39,190617004-01,4,0,6.34,0.67,1,0.67,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,13.68,201-204,71,Blue tarp fragment,0.16,0.07312,0.21,0.0153552,0.921312,0.456,0.494946337,Water_Column
Water Column,6/17/2019,June,26,190617004-02,4,0,2.34,0.67,0,0,0,2,0,0,0,1.67,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8.68,155-161,56,,0.28,0.12796,0.17,0.0217532,1.305192,0.289333333,0.221678752,Water_Column
Water Column,6/17/2019,June,38,190617004-03,4,0,2.34,0.67,0,0,0,0,0,0,0,0.67,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.68,196-198,69,,0.26,0.11882,0.15,0.017823,1.06938,0.156,0.14587892,Water_Column
Water Column,6/17/2019,June,30,190617005-01,5,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.67,207-208,73,,0.26,0.11882,0.11,0.0130702,0.784212,0.055666667,0.070984207,Water_Column
Water Column,6/17/2019,June,33,190617005-02,5,2.67,1.34,0.67,0,0.67,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8.35,174-177,61,,0.22,0.10054,0.15,0.015081,0.90486,0.278333333,0.307598229,Water_Column
Water Column,6/17/2019,June,25,190617005-03,5,0,1.34,2.67,0,2.67,0,0,0,0,0,0.67,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9.35,189-190,66,Blue fragment = tarp?,0.22,0.10054,0.09,0.0090486,0.542916,0.311666667,0.574060567,Water_Column
Water Column,7/29/2019,July,3,190729001-01,1,2.67,0.34,5.67,1,1.67,0,0,0,0,0,0.67,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.02,73-76,33,,0.2,0.0914,0.18,0.016452,0.98712,0.434,0.439662858,Water_Column
Water Column,7/29/2019,July,2,190729001-02,1,8.67,14.34,0,0,0.67,0,0,0,0,1,0.67,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,26.35,89-94,38,,0.22,0.10054,0.12,0.0120648,0.723888,0.878333333,1.213355289,Water_Column
Water Column,7/29/2019,July,13,190729001-03,1,0.67,2.34,2.67,0,2.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.35,99-101,40,,0.23,0.10511,0.12,0.0126132,0.756792,0.278333333,0.367780491,Water_Column
Water Column,7/29/2019,July,7,190729004-01,4,0,1.34,0.67,0,3.67,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.68,79-81,35,,0.18,0.08226,0.08,0.0065808,0.394848,0.222666667,0.563930086,Water_Column
Water Column,7/29/2019,July,18,190729004-02,4,0,0.34,0,0,0.67,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,7.01,164-167,58,,0.25,0.11425,0.07,0.0079975,0.47985,0.233666667,0.48695773,Water_Column
Water Column,7/29/2019,July,36,190729004-03,4,0,1.34,0.67,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5.01,218-219,79,,0.23,0.10511,0.05,0.0052555,0.31533,0.167,0.529603907,Water_Column
Water Column,7/29/2019,July,5,190729005-01,5,1.67,6.34,1.67,0,2.67,0,0,0,0,1,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.02,61-68,31,,0.17,0.07769,0.08,0.0062152,0.372912,0.467333333,1.25320004,Water_Column
Water Column,7/29/2019,July,8,190729005-02,5,5.67,0.34,1.67,0,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.35,77-78,34,,0.2,0.0914,0.06,0.005484,0.32904,0.311666667,0.947199935,Water_Column
Water Column,7/29/2019,July,4,190729005-03,5,0,2.34,0,0,2.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.01,69-72,32,,0.18,0.08226,0.04,0.0032904,0.197424,0.167,0.845895129,Water_Column
Water Column,7/29/2019,July,41,190730002-01,2,0,10.34,0,1,0.67,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14.01,213,76,,0.2,0.0914,0.37,0.033818,2.02908,0.467,0.230153567,Water_Column
Water Column,7/29/2019,July,45,190730002-02,2,0,6.34,3.67,0,0.67,0,0,0,0,0,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13.35,216-217,78,,0.2,0.0914,0.38,0.034732,2.08392,0.445,0.213539867,Water_Column
Water Column,7/29/2019,July,40,190730002-03,2,0,6.34,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.01,209-210,74,,0.16,0.07312,0.29,0.0212048,1.272288,0.267,0.209858145,Water_Column
Water Column,7/29/2019,July,16,190730003-01,3,0,8.34,3.67,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.01,153-154,55,,0.1,0.0457,0.14,0.006398,0.38388,0.433666667,1.129693307,Water_Column
Water Column,7/29/2019,July,20,190730003-02,3,0,4.34,0,0,0.67,2,0,0,0,0,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.68,187-188,65,,0.1,0.0457,0.19,0.008683,0.52098,0.289333333,0.55536361,Water_Column
Water Column,7/29/2019,July,19,190730003-03,3,0,8.34,0.67,1,0.67,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,14.68,178-181,62,Pink fiber glob,0.1,0.0457,0.06,0.002742,0.16452,0.489333333,2.974309101,Water_Column
